Company,Address,Postcode,Mobile,Allow SMS,Email,Allow Email,Managed,Account Manager
Tawney & Elsmore,"Bazaar, Nine Wells Rd, Berry Hill, Coleford",GL16 7AT,07773 324164,yes,elsmoreh@aol.com,yes,No,
Taylors Jewellers,"17 Market St, Cinderford",GL14 2RT,,yes,taylorsjewellers@btconnect.com,yes,No,
Terrell Builders,"South View, 41 Staunton Road, Coleford",GL16 8EA,07966 503086,yes,info@terrellbuilders.co.uk,yes,Yes,Jane Eveleigh
The Misbah Limited,"9 Priory Street, Monmouth",NP25 3BR,07977 491217,yes,dul.miah@btconnect.com,yes,Yes,Amber Sharpe
Tony Hussey Plastering & General Building,"Woodland Road, Drybrook",GL17 9HE,07727 074881,yes,Tony.Hussey@hotmail.com,yes,No,
Tram Stop,"19 St. John St, Coleford",,,yes,,yes,No,
True Colours Mobile Hairdresser & Nail Technician,"16 The Crescent, Crow Ash, Berry Hill, Coleford",GL16 7RF,07752 399702,yes,Joburns90@gmail.com,yes,No,
Turley. Steve,"Yorkley Court Gate, Yorkley, Lydney",GL15 4TZ,07850 352549,yes,steveturleybuilders@gmail.com,yes,Yes,Jane Eveleigh
Viney Hall,"Viney Hall Physiotherapy Ltd, The Old School, Viney Hill, Lydney",GL15 4ND,,yes,mail@vineyhallphysio.co.uk,yes,Yes,Amber Sharpe
Vintage Rose Florist,"10 A Market Street, Cinderford",GL14 2RX,,yes,vintageroseflorist16@gmail.com,yes,No,
W J Rickards Electrical & General Building,"2 Princess Royal Road, Lydney, Gloucestershire",GL15 6NG,07787 584268,yes,willrickards@hotmail.co.uk,yes,Yes,Jane Eveleigh
Waggly Tails Grooming,"15a High Street, Lydney",GL15 5DP,07584 057238,yes,donnasutton484@gmail.com,yes,Yes,Jane Eveleigh
Wendy Guilfoyle,"Barn Hill Lodge, Barn Hill Rd, Broadwell, Coleford",GL16 7BL,07733 221941,yes,wendyguilfoyle@hotmail.com,yes,Yes,Amber Sharpe
Wilks. Keith,"2 Briar Cottages, Morse Road, Nr Drybrook, Glos,",GL17 9AL,07800 777703,yes,keithwilks@outlook.com,yes,Yes,Jane Eveleigh
Willow Tree Dental Practice,"2 Pyart Ct, Coleford, Glos",,,yes,willowtreedentalpractice@yahoo.com,yes,Yes,Jane Eveleigh
Wye Valley Roofing & Restoration,"1 Kinsey Rise, Trellech",NP25 4RD,07751 360832,yes,stevenbillcliffe@outlook.com,yes,Yes,Jo Hughes
Yeates Cleaning Services,"17 School Crescent, Lydney",GL15 5TA,07747 821495,yes,tay233.mad@btinternet.com,yes,Yes,Amber Sharpe
Zelish Hair Salon,"22 Hill Street, Lydney",GL15 5HQ,,yes,zeliha_srky@outlook.com,yes,No,
